station,setup_date,retrieval_date,problem1_from,problem1_to,problem2_from,problem2_to,problem3_from,problem3_to,problem4_from,problem4_to,problem5_from,problem5_to,problem6_from,problem6_to,problem7_from,problem7_to,problem8_from,problem8_to,problem9_from,problem9_to,problem10_from,problem10_to,problem11_from,problem11_to,problem12_from,problem12_to
6,15/01/2021 14:15,11/10/2021 16:00,26/12/2020 14:20,15/01/2021 14:29,13/02/2021 12:27,19/02/2021 10:10,14/03/2021 13:16,08/04/2021 14:00,05/06/2021 14:04,15/06/2021 11:17,05/07/2021 14:30,13/07/2021 13:22,,,,,,,,,,,,,,
7,14/01/2021 10:45,10/10/2021 11:30,11/02/2021 22:35,04/04/2021 12:05,,,,,,,,,,,,,,,,,,,,,,
8,15/01/2021 13:12,15/01/2024 8:46,,,,,,,,,,,,,,,,,,,,,,,,
9,14/01/2021 11:30,16/01/2024 12:11,,,,,,,,,,,,,,,,,,,,,,,,
10,15/01/2021 15:35,10/10/2021 16:45,23/10/2020 9:49,17/11/2020 12:49,18/03/2021 17:46,19/03/2021 16:13,01/05/2021 17:52,14/05/2021 17:25,05/09/2021 12:37,15/09/2021 11:20,,,,,,,,,,,,,,,,
11,14/01/2021 11:43,16/01/2024 12:23,,,,,,,,,,,,,,,,,,,,,,,,
12,14/01/2021 9:10,15/01/2024 17:21,13/03/2021 15:08,04/04/2021 11:00,,,,,,,,,,,,,,,,,,,,,,
13,14/01/2021 12:47,16/01/2024 14:15,23/02/2021 6:42,04/04/2021 14:16,,,,,,,,,,,,,,,,,,,,,,
14,14/01/2021 12:01,10/10/2021 13:30,18/02/2021 13:45,04/04/2021 13:41,,,,,,,,,,,,,,,,,,,,,,
15,17/01/2021 14:20,17/04/2021 12:30,,,,,,,,,,,,,,,,,,,,,,,,
16,14/01/2021 8:43,10/10/2021 9:05,,,,,,,,,,,,,,,,,,,,,,,,
17,14/01/2021 15:23,12/10/2021 8:40,22/07/2021 10:44,16/08/2021 10:35,,,,,,,,,,,,,,,,,,,,,,
18,15/01/2021 11:25,11/10/2021 8:30,03/11/2020 10:47,26/11/2020 9:54,11/05/2021 12:21,14/05/2021 12:59,,,,,,,,,,,,,,,,,,,,
19,15/01/2021 16:15,11/10/2021 14:30,,,,,,,,,,,,,,,,,,,,,,,,
20,15/01/2021 16:30,19/01/2024 12:55,01/06/2021 11:36,18/06/2021 8:52,30/06/2021 15:22,12/07/2021 17:36,17/07/2021 11:01,15/08/2021 10:26,06/09/2021 14:03,15/09/2021 14:27,,,,,,,,,,,,,,,,
21,14/01/2021 14:44,10/10/2021 15:10,,,,,,,,,,,,,,,,,,,,,,,,
22,15/01/2021 13:30,09/10/2021 15:10,,,,,,,,,,,,,,,,,,,,,,,,
23,15/01/2021 16:43,11/10/2021 11:00,,,,,,,,,,,,,,,,,,,,,,,,
24,15/01/2021 15:00,15/01/2024 10:58,01/05/2021 13:31,15/05/2021 10:29,21/05/2021 13:49,15/06/2021 10:40,21/06/2021 13:33,13/07/2021 12:53,18/07/2021 13:03,18/08/2021 7:50,27/08/2021 9:12,28/09/2021 11:58,10/03/2023 18:02,17/03/2023 12:30,18/03/2023 7:52,11/05/2023 8:40,05/08/2023 6:40,04/10/2023 14:03,12/01/2024 18:58,15/01/2024 10:58,21/01/2024 23:58,04/04/2024 13:42,,,,
25,15/01/2021 12:25,11/10/2021 12:30,10/05/2021 11:58,14/05/2021 19:26,03/07/2021 13:28,12/07/2021 17:11,28/08/2021 9:54,12/09/2021 7:02,,,,,,,,,,,,,,,,,,
26,17/01/2021 15:25,10/10/2021 18:15,,,,,,,,,,,,,,,,,,,,,,,,
27,14/01/2021 16:45,15/01/2024 13:15,,,,,,,,,,,,,,,,,,,,,,,,
28,15/01/2021 15:15,15/01/2024 9:56,21/04/2023 11:00,11/05/2023 9:28,02/12/2023 10:30,15/01/2024 9:56,03/05/2024 17:42,11/06/2024 12:58,,,,,,,,,,,,,,,,,,
29,15/01/2021 15:50,19/01/2024 14:38,13/01/2021 11:04,15/01/2021 15:50,,,,,,,,,,,,,,,,,,,,,,
30,15/01/2021 17:30,19/01/2024 15:00,02/05/2021 14:35,14/05/2021 17:58,17/05/2021 16:14,18/06/2021 11:46,22/06/2021 9:35,13/07/2021 11:31,14/07/2021 12:23,16/08/2021 7:00,19/08/2021 14:25,15/09/2021 10:20,26/04/2022 9:22,12/05/2022 16:04,11/01/2023 6:18,17/01/2023 15:22,22/02/2024 16:18,04/04/2024 9:27,,,,,,,,
31,15/01/2021 12:45,09/10/2021 16:15,,,,,,,,,,,,,,,,,,,,,,,,
32,14/01/2021 16:00,15/01/2024 12:19,06/04/2021 13:48,17/04/2021 19:15,30/04/2021 13:15,15/05/2021 7:30,19/05/2021 11:50,15/06/2021 7:32,19/06/2021 13:17,12/07/2021 15:52,15/07/2021 12:31,16/08/2021 9:20,19/08/2021 15:46,13/09/2021 8:39,09/05/2022 10:44,10/05/2022 15:09,26/05/2022 11:12,12/06/2022 11:43,23/06/2022 15:57,21/07/2022 10:34,04/08/2022 16:57,15/09/2022 17:13,29/06/2023 14:31,06/07/2023 8:02,06/05/2024 11:21,11/06/2024 8:18
33,14/01/2021 10:25,16/01/2024 11:16,,,,,,,,,,,,,,,,,,,,,,,,
34,15/01/2021 10:15,19/01/2024 10:53,25/01/2021 19:30,08/04/2021 17:30,15/04/2021 11:29,17/04/2021 11:05,29/04/2021 9:39,16/06/2021 9:01,25/06/2021 10:29,13/07/2021 6:54,19/07/2021 13:05,15/09/2021 7:10,21/11/2021 8:11,17/12/2021 8:55,02/05/2022 8:26,12/05/2022 8:40,22/05/2022 13:23,12/06/2022 9:50,10/07/2022 12:40,20/07/2022 17:51,30/04/2023 12:52,10/05/2023 8:36,16/01/2024 17:53,19/01/2024 10:53,23/06/2024 13:01,05/09/2024 8:12
35,14/01/2021 15:00,15/01/2024 15:47,,,,,,,,,,,,,,,,,,,,,,,,
36,15/01/2021 17:00,19/01/2024 15:34,31/05/2021 9:25,18/06/2021 10:50,24/06/2021 10:52,13/07/2021 11:03,17/07/2021 13:43,16/08/2021 6:45,23/08/2021 9:12,15/09/2021 9:59,02/08/2023 15:19,04/10/2023 15:26,21/03/2024 17:44,02/04/2024 18:41,29/04/2024 13:20,11/06/2024 18:09,20/06/2024 16:58,05/09/2024 16:06,,,,,,,,
37,15/01/2021 10:40,14/05/2021 13:15,,,,,,,,,,,,,,,,,,,,,,,,
38,17/01/2021 14:45,13/01/2024 14:10,15/12/2020 13:28,17/01/2021 15:03,28/04/2024 6:36,13/06/2024 14:18,,,,,,,,,,,,,,,,,,,,
39,14/01/2021 15:48,12/10/2021 7:45,15/08/2021 11:59,13/09/2021 18:40,,,,,,,,,,,,,,,,,,,,,,
40,15/01/2021 9:50,19/02/2021 18:00,,,,,,,,,,,,,,,,,,,,,,,,
41,14/01/2021 10:05,10/10/2021 10:40,,,,,,,,,,,,,,,,,,,,,,,,
42,14/01/2021 12:25,10/10/2021 14:20,,,,,,,,,,,,,,,,,,,,,,,,
43,14/01/2021 12:50,15/01/2024 16:41,08/01/2021 22:14,14/01/2021 12:50,16/01/2021 11:02,08/04/2021 12:28,,,,,,,,,,,,,,,,,,,,
44,10/06/2022 9:00,13/01/2024 13:57,,,,,,,,,,,,,,,,,,,,,,,,
45,10/06/2022 11:00,13/01/2024 13:39,11/06/2022 14:01,20/07/2022 15:45,22/07/2022 10:30,15/09/2022 9:45,30/04/2023 13:27,10/05/2023 9:50,13/05/2024 17:23,13/06/2024 10:54,,,,,,,,,,,,,,,,
46,10/06/2022 12:57,19/01/2024 15:22,12/12/2023 13:32,19/01/2024 15:22,04/04/2024 8:26,13/06/2024 11:08,,,,,,,,,,,,,,,,,,,,
47,10/06/2022 16:11,19/01/2024 14:15,,,,,,,,,,,,,,,,,,,,,,,,
48,10/06/2022 18:00,19/01/2024 13:07,,,,,,,,,,,,,,,,,,,,,,,,
49,11/06/2022 9:34,16/01/2024 10:12,16/01/2024 23:36,07/04/2024 10:29,,,,,,,,,,,,,,,,,,,,,,
50,11/06/2022 10:48,16/01/2024 10:33,,,,,,,,,,,,,,,,,,,,,,,,
51,11/06/2022 11:36,16/01/2024 10:51,,,,,,,,,,,,,,,,,,,,,,,,
52,11/06/2022 14:05,16/01/2024 11:53,14/11/2023 11:31,17/11/2023 14:46,23/02/2024 17:14,07/04/2024 13:29,,,,,,,,,,,,,,,,,,,,
53,11/06/2022 16:14,16/01/2024 13:23,03/02/2024 18:24,04/09/2024 15:36,,,,,,,,,,,,,,,,,,,,,,
54,11/06/2022 17:00,16/01/2024 13:42,,,,,,,,,,,,,,,,,,,,,,,,
55,11/06/2022 18:00,16/01/2024 9:22,,,,,,,,,,,,,,,,,,,,,,,,
56,12/06/2022 8:28,19/01/2024 9:50,,,,,,,,,,,,,,,,,,,,,,,,
57,12/06/2022 9:17,19/01/2024 10:07,22/06/2022 16:14,20/07/2022 17:32,10/04/2023 16:34,10/05/2023 7:58,04/11/2023 18:28,16/11/2023 10:00,,,,,,,,,,,,,,,,,,
58,12/06/2022 13:54,15/01/2024 13:54,,,,,,,,,,,,,,,,,,,,,,,,
59,12/06/2022 14:56,15/01/2024 14:12,,,,,,,,,,,,,,,,,,,,,,,,
60,12/06/2022 16:00,15/01/2024 11:49,,,,,,,,,,,,,,,,,,,,,,,,
61,12/06/2022 17:08,15/01/2024 9:28,,,,,,,,,,,,,,,,,,,,,,,,
62,13/06/2022 8:13,16/01/2024 8:49,,,,,,,,,,,,,,,,,,,,,,,,
63,14/06/2022 19:39,15/01/2024 14:45,,,,,,,,,,,,,,,,,,,,,,,,
64,13/06/2022 10:53,16/01/2024 14:39,,,,,,,,,,,,,,,,,,,,,,,,
65,13/06/2022 12:30,15/01/2024 17:01,12/09/2023 12:47,03/10/2023 9:52,,,,,,,,,,,,,,,,,,,,,,
66,13/06/2022 13:48,15/01/2024 16:07,09/04/2024 13:43,06/09/2024 14:18,,,,,,,,,,,,,,,,,,,,,,
67,13/06/2022 14:36,15/01/2024 15:34,21/07/2022 13:15,15/09/2022 16:11,,,,,,,,,,,,,,,,,,,,,,
68,13/06/2022 15:34,15/01/2024 10:32,14/04/2023 17:38,11/05/2023 9:49,23/05/2024 19:38,11/06/2024 11:17,,,,,,,,,,,,,,,,,,,,
69,13/01/2024 16:29,05/09/2024 9:19,30/08/2024 18:18,05/09/2024 9:19,,,,,,,,,,,,,,,,,,,,,,
10B,10/10/2021 16:45,19/01/2024 14:39,05/06/2022 13:18,10/06/2022 14:32,21/12/2022 12:44,17/01/2023 16:52,05/05/2023 15:05,10/05/2023 16:18,13/06/2023 11:55,04/07/2023 12:01,07/08/2023 14:03,04/10/2023 14:48,27/01/2024 8:20,04/04/2024 10:30,24/05/2024 15:30,11/06/2024 16:49,11/07/2024 14:03,05/09/2024 13:11,,,,,,,,
14B,10/10/2021 13:30,16/01/2024 12:38,16/12/2021 12:15,16/02/2022 13:00,21/06/2024 15:18,04/09/2024 14:59,,,,,,,,,,,,,,,,,,,,
16B,10/10/2021 9:05,15/01/2024 17:43,14/07/2023 20:21,03/10/2023 8:55,,,,,,,,,,,,,,,,,,,,,,
17B,12/10/2021 8:40,15/01/2024 15:06,13/06/2022 14:31,21/07/2022 6:55,31/07/2023 8:25,04/10/2023 10:51,16/03/2024 17:47,08/04/2024 9:57,,,,,,,,,,,,,,,,,,
